OBJECTID *,Shape *,ASSETGROUP,ASSETTYPE,ASSETNUM,CLASSIFICATION_TRAFO,DESCRIPTION GARDU,INSTALLDATE,LOCATION_GARDU,STATUS,TUJDNUMBER_TRAFO,FASA_TRAFO,JENIS_TRAFO,KAPASITAS_BARU,NO_TRAFO,PERUNTUKAN,POSISI_FASA,TEGANGAN_TRAFO,TH_BUAT,PRIORITAS,globalid *,LATITUDE,LONGITUDE,AssetNum_Trafo,GARDU_INDUK,Keterangan,PENYULANG,LOCATION_TIANG,ID_SECTION,SECTION_NAME,GARDU_UID,ASSETGROUP,ASSETTYPE,LOCATION,SSOTNUMBER_GARDU,NAMA_GARDU,KODE_GARDU,TUJDNUMBER_GARDU,TYPE_GARDU,ASSETNUM,SSOTNUMBER_TRAFO,NAMA_TRAFO,KAPASITAS_MAXIMO,BEBAN_SINCAL,JENIS_PELAYANAN,DESCRIPTION_TRAFO,KODE_PERALATAN,OWNER_PEMELIHARAAN,STATUS_KEPEMILIKAN,STATUS_RC,CXPENYULANG,SADDRESSCODE,LOCATION TYPE,STREETADDRESS,FORMATTEDADDRESS,CITY,KODE_PENYULANG
2795,Point,7211,23230,3742702,Trafo,GD KSB0160,12/30/1899,GD01.04669847,OPERATING,72TF0103742702,3 FASA,2,100,100,UMUM,RST,20 kV/B2,2017,3,{31E001CE-60F2-4CC0-B1B7-9A8214A3A0B5},"-1,871365","116,175936",3742702,GI GROGOT,,GRT.01,TG01.04702899,210101,SECTION-PMT-GRT.01,2475,7211,23230,GD01.04669847,23230GD010000012296,GD KSB0160,KSB0160,72GD0104669847,Gardu Portal,3742702,23230TF010000002706,TRAFO GD KSB0160,100,"0,08",Umum,TRAFO GD KSB0160,12345678,,PLN,TIDAK ADA,3714429,SA6564719,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2812,Point,7211,23230,3742733,Trafo,GD LLO0287,12/30/1899,GD01.04669878,OPERATING,72TF0103742733,3 FASA,2,50,50,UMUM,RST,20 kV/B2,2017,3,{A6A9B2DE-483A-4A3C-A12B-01B38B26B0DE},"-1,867396","116,120245",3742733,GI GROGOT,,GRT.01,TG01.04703501,210103,SECTION-LBS-LBS MAN IC,2481,7211,23230,GD01.04669878,23230GD010000012356,GD LLO0287,LLO0287,72GD0104669878,Gardu Portal,3742733,23230TF010000002736,TRAFO GD LLO0287,50,"0,04",Umum,TRAFO GD LLO0287,12345678,,PLN,TIDAK ADA,3714429,SA6564750,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2815,Point,7211,23230,3742732,Trafo,GD LLO0028,12/30/1899,GD01.04669877,OPERATING,72TF0103742732,3 FASA,2,50,50,UMUM,RST,20 kV/B2,2017,3,{341DC8E7-B458-4330-A516-AB73E916CEF8},"-1,866793","116,123214",3742732,GI GROGOT,,GRT.01,TG01.04703495,210103,SECTION-LBS-LBS MAN IC,2482,7211,23230,GD01.04669877,23230GD010000012270,GD LLO0028,LLO0028,72GD0104669877,Gardu Portal,3742732,23230TF010000002735,TRAFO GD LLO0028,50,"0,04",Umum,TRAFO GD LLO0028,12345678,,PLN,TIDAK ADA,3714429,SA6564749,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2818,Point,7211,23230,3742701,Trafo,GD BTS0226,12/30/1899,GD01.04669846,OPERATING,72TF0103742701,3 FASA,2,25,25,UMUM,RST,20 kV/B2,2017,3,{E2E5BDB7-293D-4AF4-AA08-E6748863E04E},"-1,875743","116,176184",3742701,GI GROGOT,,GRT.01,TG01.04702891,210101,SECTION-PMT-GRT.01,2483,7211,23230,GD01.04669846,23230GD010000012297,GD BTS0226,BTS0226,72GD0104669846,Gardu Cantol,3742701,23230TF010000002705,TRAFO GD BTS0226,25,"0,02",Umum,TRAFO GD BTS0226,12345678,,PLN,TIDAK ADA,3714429,SA6564718,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2823,Point,7211,23230,3742700,Trafo,GD KSB0188,12/30/1899,GD01.04669845,OPERATING,72TF0103742700,3 FASA,2,160,160,UMUM,RST,20 kV/B2,2017,3,{AED59CA8-F9D5-4420-AEB3-929968AA9E06},"-1,876766","116,175917",3742700,GI GROGOT,,GRT.01,TG01.04702889,210101,SECTION-PMT-GRT.01,2485,7211,23230,GD01.04669845,23230GD010000012298,GD KSB0188,KSB0188,72GD0104669845,Gardu Portal,3742700,23230TF010000002704,TRAFO GD KSB0188,160,"0,128",Umum,TRAFO GD KSB0188,12345678,,PLN,TIDAK ADA,3714429,SA6564717,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2840,Point,7211,23230,3742735,Trafo,GD LLO0288,12/30/1899,GD01.04669880,OPERATING,72TF0103742735,3 FASA,2,100,100,UMUM,RST,20 kV/B2,2017,3,{822DC623-4D5E-4012-AD8B-8A9F4F650C5D},"-1,868459","116,124152",3742735,GI GROGOT,,GRT.01,TG01.04703509,210103,SECTION-LBS-LBS MAN IC,2490,7211,23230,GD01.04669880,23230GD010000012268,GD LLO0288,LLO0288,72GD0104669880,Gardu Portal,3742735,23230TF010000002738,TRAFO GD LLO0288,100,"0,08",Umum,TRAFO GD LLO0288,12345678,,PLN,TIDAK ADA,3714429,SA6564752,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2850,Point,7211,23230,3742699,Trafo,GD PJU0240,12/30/1899,GD01.04669844,OPERATING,72TF0103742699,3 FASA,2,25,25,UMUM,RST,20 kV/B2,2017,3,{3747F041-8A95-478C-8DB6-445F8058AFFB},"-1,881242","116,175926",3742699,GI GROGOT,,GRT.01,TG01.04702880,210101,SECTION-PMT-GRT.01,2493,7211,23230,GD01.04669844,23230GD010000012299,GD PJU0240,PJU0240,72GD0104669844,Gardu Portal,3742699,23230TF010000002703,TRAFO GD PJU0240,25,"0,02",Umum,TRAFO GD PJU0240,12345678,,PLN,TIDAK ADA,3714429,SA6564716,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2869,Point,7211,23230,3742731,Trafo,GD LLO0150,12/30/1899,GD01.04669876,OPERATING,72TF0103742731,3 FASA,2,100,100,UMUM,RST,20 kV/B2,2017,3,{CA7E0521-ED3D-4A0F-947F-062E7E81FDCC},"-1,871878","116,122117",3742731,GI GROGOT,,GRT.01,TG01.04703478,210103,SECTION-LBS-LBS MAN IC,2500,7211,23230,GD01.04669876,23230GD010000012271,GD LLO0150,LLO0150,72GD0104669876,Gardu Portal,3742731,23230TF010000003579,TRAFO GD LLO0150,100,"0,08",Umum,TRAFO GD LLO0150,12345678,,PLN,TIDAK ADA,3714429,SA6564748,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2874,Point,7211,23230,3742698,Trafo,GD KSB0014,12/30/1899,GD01.04669843,OPERATING,72TF0103742698,3 FASA,2,100,100,UMUM,RST,20 kV/B2,2017,3,{5A9289FD-B868-4053-8845-0580D6850B10},"-1,88461","116,176598",3742698,GI GROGOT,,GRT.01,TG01.04702871,210101,SECTION-PMT-GRT.01,2501,7211,23230,GD01.04669843,23230GD010000012300,GD KSB0014,KSB0014,72GD0104669843,Gardu Portal,3742698,23230TF010000002702,TRAFO GD KSB0014,100,"0,08",Umum,TRAFO GD KSB0014,12345678,,PLN,TIDAK ADA,3714429,SA6564715,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
2877,Point,7211,23230,3742697,Trafo,GD BTS0187,12/30/1899,GD01.04669842,OPERATING,72TF0103742697,3 FASA,3,25,25,UMUM,RST,20 kV/B2,2017,3,{30D19CF7-E454-4DDF-99E4-58EAABCD7A2A},"-1,884748","116,176693",3742697,GI GROGOT,,GRT.01,TG01.04702870,210101,SECTION-PMT-GRT.01,2502,7211,23230,GD01.04669842,23230GD010000012301,GD BTS0187,BTS0187,72GD0104669842,Gardu Cantol,3742697,23230TF010000002701,TRAFO GD BTS0187,25,"0,02",Umum,TRAFO GD BTS0187,12345678,,PLN,TIDAK ADA,3714429,SA6564714,Bangunan Sipil Gardu,TANAH GROGOT,TANAH GROGOT,PASER,3714429
